"filename", "language", "HTML", "Markdown", "Less", "JavaScript", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"d:\repo\FlowPhotoscan\model\preprocess\DataCalibration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 73, 8, 15, 96
"d:\repo\FlowPhotoscan\model\preprocess\constant.py", "Python", 0, 0, 0, 0, 0, 0, 0, 18, 4, 6, 28
"d:\repo\FlowPhotoscan\src\404.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 0, 1, 11, 61
"d:\repo\FlowPhotoscan\src\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 14
"d:\repo\FlowPhotoscan\src\browserconfig.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 1, 1, 13
"d:\repo\FlowPhotoscan\src\css\bootstrap-treeview.min.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\repo\FlowPhotoscan\src\css\bootstrap.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"d:\repo\FlowPhotoscan\src\css\container\canvas.css", "CSS", 0, 0, 0, 0, 23, 0, 0, 0, 1, 4, 28
"d:\repo\FlowPhotoscan\src\css\container\grid.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 11
"d:\repo\FlowPhotoscan\src\css\container\menu.css", "CSS", 0, 0, 0, 0, 85, 0, 0, 0, 9, 14, 108
"d:\repo\FlowPhotoscan\src\css\container\right-box.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\repo\FlowPhotoscan\src\css\container\side-panel.css", "CSS", 0, 0, 0, 0, 85, 0, 0, 0, 0, 12, 97
"d:\repo\FlowPhotoscan\src\css\container\svg.css", "CSS", 0, 0, 0, 0, 55, 0, 0, 0, 1, 9, 65
"d:\repo\FlowPhotoscan\src\css\function.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\repo\FlowPhotoscan\src\css\icheck\blue.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 0, 3, 3, 53
"d:\repo\FlowPhotoscan\src\css\index.css", "CSS", 0, 0, 0, 0, 638, 0, 0, 0, 26, 6, 670
"d:\repo\FlowPhotoscan\src\css\main.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 8
"d:\repo\FlowPhotoscan\src\css\project.css", "CSS", 0, 0, 0, 0, 314, 0, 0, 0, 1, 1, 316
"d:\repo\FlowPhotoscan\src\css\sign.css", "CSS", 0, 0, 0, 0, 71, 0, 0, 0, 2, 7, 80
"d:\repo\FlowPhotoscan\src\css\swiper.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 14, 0, 15
"d:\repo\FlowPhotoscan\src\css\toolbox.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"d:\repo\FlowPhotoscan\src\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 2671, 0, 0, 1, 2672
"d:\repo\FlowPhotoscan\src\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 288
"d:\repo\FlowPhotoscan\src\function.html", "HTML", 285, 0, 0, 0, 0, 0, 0, 0, 16, 36, 337
"d:\repo\FlowPhotoscan\src\index.html", "HTML", 676, 0, 0, 0, 0, 0, 0, 0, 17, 23, 716
"d:\repo\FlowPhotoscan\src\js\bootstrap\affix.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 15, 46, 163
"d:\repo\FlowPhotoscan\src\js\bootstrap\alert.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 16, 30, 95
"d:\repo\FlowPhotoscan\src\js\bootstrap\button.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 0, 18, 28, 126
"d:\repo\FlowPhotoscan\src\js\bootstrap\carousel.js", "JavaScript", 0, 0, 0, 168, 0, 0, 0, 0, 15, 55, 238
"d:\repo\FlowPhotoscan\src\js\bootstrap\collapse.js", "JavaScript", 0, 0, 0, 141, 0, 0, 0, 0, 16, 56, 213
"d:\repo\FlowPhotoscan\src\js\bootstrap\dropdown.js", "JavaScript", 0, 0, 0, 100, 0, 0, 0, 0, 16, 50, 166
"d:\repo\FlowPhotoscan\src\js\bootstrap\modal.js", "JavaScript", 0, 0, 0, 247, 0, 0, 0, 0, 16, 77, 340
"d:\repo\FlowPhotoscan\src\js\bootstrap\popover.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 17, 31, 109
"d:\repo\FlowPhotoscan\src\js\bootstrap\scrollspy.js", "JavaScript", 0, 0, 0, 119, 0, 0, 0, 0, 15, 39, 173
"d:\repo\FlowPhotoscan\src\js\bootstrap\tab.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 0, 17, 37, 156
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 18, 63
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\index.html", "HTML", 154, 0, 0, 0, 0, 0, 0, 0, 4, 12, 170
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\affix.js", "JavaScript", 0, 0, 0, 89, 0, 0, 0, 0, 1, 18, 108
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\alert.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 1, 15, 79
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\button.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 0, 1, 18, 169
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\carousel.js", "JavaScript", 0, 0, 0, 640, 0, 0, 0, 0, 1, 78, 719
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\collapse.js", "JavaScript", 0, 0, 0, 337, 0, 0, 0, 0, 1, 106, 444
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\dropdown.js", "JavaScript", 0, 0, 0, 368, 0, 0, 0, 0, 1, 55, 424
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\modal.js", "JavaScript", 0, 0, 0, 324, 0, 0, 0, 0, 2, 52, 378
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\phantom.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 16, 13, 73
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\popover.js", "JavaScript", 0, 0, 0, 238, 0, 0, 0, 0, 1, 52, 291
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\scrollspy.js", "JavaScript", 0, 0, 0, 241, 0, 0, 0, 0, 1, 37, 279
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\tab.js", "JavaScript", 0, 0, 0, 181, 0, 0, 0, 0, 1, 35, 217
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\unit\tooltip.js", "JavaScript", 0, 0, 0, 1072, 0, 0, 0, 0, 3, 251, 1326
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\vendor\jquery.min.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\vendor\qunit.css", "CSS", 0, 0, 0, 0, 217, 0, 0, 0, 20, 69, 306
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\vendor\qunit.js", "JavaScript", 0, 0, 0, 3007, 0, 0, 0, 0, 582, 616, 4205
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\affix-with-sticky-footer.html", "HTML", 221, 0, 0, 0, 0, 0, 0, 0, 8, 89, 318
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\affix.html", "HTML", 207, 0, 0, 0, 0, 0, 0, 0, 8, 92, 307
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\alert.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 7, 9, 49
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\button.html", "HTML", 59, 0, 0, 0, 0, 0, 0, 0, 8, 13, 80
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\carousel.html", "HTML", 44, 0, 0, 0, 0, 0, 0, 0, 7, 8, 59
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\collapse.html", "HTML", 64, 0, 0, 0, 0, 0, 0, 0, 7, 8, 79
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\dropdown.html", "HTML", 93, 0, 0, 0, 0, 0, 0, 0, 7, 9, 109
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\modal.html", "HTML", 176, 0, 0, 0, 0, 0, 0, 0, 8, 22, 206
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\popover.html", "HTML", 38, 0, 0, 0, 0, 0, 0, 0, 8, 9, 55
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\scrollspy.html", "HTML", 94, 0, 0, 0, 0, 0, 0, 0, 7, 9, 110
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\tab.html", "HTML", 149, 0, 0, 0, 0, 0, 0, 0, 7, 17, 173
"d:\repo\FlowPhotoscan\src\js\bootstrap\tests\visual\tooltip.html", "HTML", 34, 0, 0, 0, 0, 0, 0, 0, 8, 9, 51
"d:\repo\FlowPhotoscan\src\js\bootstrap\tooltip.js", "JavaScript", 0, 0, 0, 381, 0, 0, 0, 0, 22, 118, 521
"d:\repo\FlowPhotoscan\src\js\bootstrap\transition.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 10, 13, 60
"d:\repo\FlowPhotoscan\src\js\container\file_tree.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 4, 1, 57
"d:\repo\FlowPhotoscan\src\js\container\menu.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
